,Percentage,Chord_Length,Blade_twist,Hub_radius,Tip_radius
0,40,26.318779714390796,20.0022491346018,6.540994719831005,126.80676910381526
1,50,27.415915160832334,16.36506704512034,6.540994719831005,126.80676910381526
2,60,27.32992688092834,13.221666884887185,6.540994719831005,126.80676910381526
